Network,0,1,2,3,4
#1MTrajeados,0.8349771469809959,0.04161655039692086,0.10873225884050998,0.008178975222516238,0.006495068559057012
#AMLOLujoDePresidente,0.7001278772378516,0.1293158567774936,0.149616368286445,0.01198849104859335,0.008951406649616368
#ARMY,0.9343244068832095,0.02403013949699623,0.021891864372263516,0.011098666123612667,0.008654923123918135
#AntorchaAyudaATabasco,0.6000928936367859,0.2856479331165815,0.09939619136089178,0.007895959126799815,0.006967022758941012
#AvisoCovidEdomex,0.8998911860718172,0.014145810663764961,0.037431991294885746,0.026332970620239392,0.02219804134929271
#BuenFinSeguro,0.8674091752850702,0.012463537523203394,0.07663749668522939,0.02439671174754707,0.01909307875894988
#ByeByeTrump,0.6277590134317806,0.06354567590919802,0.1645589505930406,0.08106197470740711,0.06307438535857356
#Confetti,0.8078262651096086,0.07785289899610735,0.0958819913952059,0.009629174349518542,0.008809670149559516
#CovidDerrotaAPuebla,0.8961325966850828,0.06740331491712707,0.02430939226519337,0.0066298342541436465,0.0055248618784530384
#CuidemosTodosDeTodos,0.9400714532672583,0.01394491183588798,0.02431716030886251,0.012100956551803618,0.009565518036187623
#DiaInternacionalDelHombre,0.5487746734051683,0.035758558214932776,0.2778678363688376,0.07895489653857156,0.058644035472489746
#Elecciones2020,0.6562378167641325,0.06666666666666667,0.18440545808966863,0.05341130604288499,0.03927875243664718
#Fakeministas,0.8832256938383662,0.05166695758422063,0.05742712515273172,0.004014662244719846,0.003665561179961599
#FelizLunes,0.4082708441606652,0.038607172024649195,0.4286880985967778,0.07283391491573242,0.05159997030217536
#FelizMartes,0.9708264390838631,0.007663502569015066,0.016894539754419576,0.0026125576939824086,0.0020029608987198466
#FelizMiercoles,0.3879919648835652,0.0400267837214493,0.43508667509857896,0.08057436202663493,0.056320214269771594
#Fortnite,0.584181986509721,0.06321915090596482,0.18542520830577966,0.0973416214786404,0.0698320327998942
#GoPackGo,0.8926137612662124,0.03121565179160255,0.05143987689602111,0.013739283358979995,0.010991426687183996
#HalaMadrid,0.8953343053530515,0.020204124140804,0.04686523640908144,0.02082899395959175,0.01676734013747136
#HappyAuronDay,0.7950227963525835,0.05148176291793313,0.14038753799392098,0.007218844984802432,0.005889057750759878
#ImolaGP,0.8626669791422545,0.03655964377782986,0.0715959690649168,0.016053433325521442,0.013123974689477385
#JusticeForJohnnyDepp,0.8138163437236732,0.06739679865206402,0.09214406065711879,0.014427127211457455,0.012215669755686605
#JusticiaParaAlexis,0.7996933523162851,0.054101412769685685,0.13109188478808453,0.008104260212463039,0.007009089913481546
#LaBrujaDelPalacio,0.6940269749518304,0.06705202312138728,0.22350674373795762,0.008477842003853564,0.006936416184971098
#LordMontajes,0.8327810349222534,0.08717817996431303,0.06882487891919449,0.006117767015039511,0.0050981391791995925
#MasterChefMx,0.6234599589322382,0.13449691991786447,0.20585215605749488,0.019250513347022588,0.016940451745379878
#MatriomonioIgualitarioPuebla,0.7466239414053559,0.03341725795376516,0.200503547722591,0.010986495765621425,0.008468757152666513
#NiallHoran,0.8373117033603708,0.09687137891077637,0.05979142526071842,0.0030127462340672076,0.0030127462340672076
#OfrendaEdomex,0.9545299920625921,0.01757568885361152,0.007710624787390861,0.010545413312166912,0.009638280984238575
#POSITIONS,0.6550629447181171,0.07345374931581829,0.14526546250684183,0.06962233169129721,0.05659551176792556
#RatitaNoEstasSolo,0.8868997824995817,0.07244437008532709,0.03530199096536724,0.0030115442529697173,0.0023423121967542245
#SalarioRosa2,0.97783484254629,0.00946073793755913,0.0035139883768076766,0.004865522367887553,0.004324908771455602
#SerieMundial,0.8836676670352235,0.03016900963512873,0.062470383825619966,0.013662928447322698,0.010030011056705103
#SiguesTuLopez,0.7615165103954341,0.11740725642070933,0.10014947683109118,0.01114281831770621,0.00978393803505911
#SoloLasMujeresMenstruan,0.8391098484848485,0.03465909090909091,0.08674242424242425,0.022443181818181817,0.017045454545454544
#TarjetaRosa,0.9323730897593536,0.027577727033198666,0.018268048480590198,0.011241875988055507,0.010539258738802038
#Temblor,0.7946650124069479,0.045181968569065346,0.10773366418527709,0.029363110008271298,0.023056244830438378
#TheMandalorian,0.5889746241349136,0.03341022989420094,0.1823243974226394,0.11081059581576645,0.08448015273247951
#TrumpvsBiden,0.6272727272727273,0.03207070707070707,0.19234006734006734,0.08552188552188553,0.06279461279461279
#UnPeligroParaMexico,0.604171661472069,0.044353871973147926,0.3382881802924958,0.007432270438743707,0.005754015823543515
#WonderAtMidnight,0.6789868182993022,0.24243990695270096,0.06952700956319463,0.004652364952184027,0.004393900232618248
#XSXFridgeSweeps,0.9294425087108014,0.010452961672473868,0.013315082130413141,0.025510204081632654,0.021279243404678946
#Xavi,0.6194864579669364,0.07302145620823074,0.18065423848047837,0.07442842068237777,0.05240942666197679
#nosfaltajorge,0.8833814432989691,0.02779381443298969,0.06663917525773196,0.012783505154639175,0.009402061855670102
Best_Buy,0.640242480764747,0.053236962772985154,0.14463355871609543,0.0916297505245978,0.07025724722157457
Best_Buy_Liquidacion,0.42420897718910966,0.050625459896983076,0.23855776306107432,0.15967623252391464,0.12693156732891833
Bloomberg,0.8048167262141062,0.03857350800582242,0.09964271536323938,0.033545057562524815,0.023421992854307266
Bob_Esponja,0.6532877882152007,0.024017933390264732,0.10140905209222886,0.12297181895815543,0.0983134073441503
Brozo,0.8824361427739412,0.05616107829270322,0.04750811215575339,0.0076545469673017725,0.006240119810300358
Censura,0.7505557426743011,0.06419669922532839,0.1115527113506231,0.04183226675648367,0.03186257999326372
Checo,0.7510530449061183,0.0737488398657814,0.08774184336403228,0.048547154993931606,0.03890911687013636
Chile,0.36263060848186845,0.08488697671242232,0.3054701905347265,0.13713036945981014,0.10988185481117257
Chivas,0.6846510575726727,0.10881122045017531,0.1499830335934849,0.031218187987784186,0.025336500395882817
Coco,0.1943231441048035,0.01393526843051631,0.41658104289750836,0.21442332391471872,0.16073722065245313
Cruz_Azul,0.5548737314137361,0.09826134843836047,0.15521988828573677,0.10510581386200929,0.08653921800015735
DiaDeMuertos,0.720663609387645,0.02940383059077421,0.1707580253574319,0.045454545454545456,0.03371998920960345
Dinamarca,0.6730388925510876,0.09379414257463038,0.1569827667388643,0.0427535549486769,0.03343064318674075
Europa_League,0.6669226830517153,0.05344342037890425,0.12096774193548387,0.08960573476702509,0.06906041986687148
FONDEN,0.8027083333333334,0.07677083333333333,0.09864583333333334,0.0125,0.009375
Greta,0.8284417162222648,0.03126798388643775,0.07615576443506618,0.03651128588784449,0.027623249568386726
Halloween,0.24034946108921704,0.018850007122168937,0.29732681259199467,0.24414795118940222,0.19932576800721713
HereWeGo,0.6150124615159067,0.08488491423544935,0.18091188975223574,0.06597273127107463,0.05321800322533353
KAROL,0.20170212765957446,0.04482269503546099,0.5273758865248227,0.1324822695035461,0.09361702127659574
Maluma,0.7320832957721085,0.055169926980978994,0.08473812314071938,0.07085549445596322,0.05715315965022987
Manchester_United,0.7071135624381276,0.03860840050912177,0.13272521566963655,0.06788290199406025,0.05366991938905388
Pfizer,0.5978014693697177,0.08059437662265923,0.18035684693144782,0.08048389769651439,0.06076340937966083
Pumas,0.6038183583216481,0.09535109481177867,0.18433825908747709,0.06514939057275375,0.05134289720634236
Ravens,0.6034026899643637,0.072652028968847,0.16013334866076562,0.09253937234164847,0.07127256006437521
Rayados,0.8423143779488453,0.0628259250062081,0.0684132108269183,0.014651105040973429,0.01179538117705488
SpotifyWrapped,0.6237012987012988,0.07784090909090909,0.1713474025974026,0.0711038961038961,0.056006493506493504
SystemofaDown,0.7073582629674307,0.024768797748291115,0.11668677121029353,0.08411741053478086,0.06706875753920385
Trump,0.42720176036045476,0.10237334311311364,0.25729554146801487,0.1202389060617174,0.09289044899669932
Viena,0.7168387609213661,0.05996822875297855,0.1471008737092931,0.04392374900714853,0.03216838760921366
Worlds2020,0.8602443453855044,0.024021792966815256,0.08659402344394915,0.01642727422816576,0.012712563975565461
Yakult,0.7404587509637626,0.04047802621434079,0.0993639167309175,0.0683307632999229,0.051368542791056286
